...1,2010 CS Code,2010 County Set Name,2010 County Set Description,FIPS State Code,FIPS County Code,2010 County Population,2010 Total CS Population
,"","",Peach,13,225,27695,
,"","",Pike,13,231,17869,
,"","",Upson,13,293,27153,
,"","","","","",,
250,13CS029,Crisp+Dooly+Turner+Wilcox,Crisp,13,081,23439,56542
,"","",Dooly,13,093,14918,
,"","",Turner,13,287,8930,
,"","",Wilcox,13,315,9255,
,"","","","","",,
251,13CS030,Dawson+Lumpkin+White,Dawson,13,085,22330,79440
,"","",Lumpkin,13,187,29966,
,"","",White,13,311,27144,
,"","","","","",,
252,13CS031,Decatur+Grady+Seminole,Decatur,13,087,27842,61582
,"","",Grady,13,131,25011,
,"","",Seminole,13,253,8729,
,"","","","","",,
253,13CS032,DeKalb,DeKalb,13,089,691893,691893
,"","","","","",,
254,13CS033,Dougherty,Dougherty,13,095,94565,94565
,"","","","","",,
255,13CS034,Douglas,Douglas,13,097,132403,132403
,"","","","","",,
256,13CS035,Effingham,Effingham,13,103,52250,52250
,"","","","","",,
257,13CS036,Elbert+Franklin+Hart+Stephens,Elbert,13,105,20166,93638
,"","",Franklin,13,119,22084,
,"","",Hart,13,147,25213,
,"","",Stephens,13,257,26175,
,"","","","","",,
258,13CS037,Fannin+Rabun+Towns+Union,Fannin,13,111,23682,71785
,"","",Rabun,13,241,16276,
,"","",Towns,13,281,10471,
,"","",Union,13,291,21356,
,"","","","","",,
259,13CS038,Fayette,Fayette,13,113,106567,106567
,"","","","","",,
260,13CS039,Floyd,Floyd,13,115,96317,96317
,"","","","","",,
261,13CS040,Forsyth,Forsyth,13,117,175511,175511
,"","","","","",,
262,13CS041,Fulton,Fulton,13,121,920581,920581
,"","","","","",,
263,13CS042,Gilmer+Murray,Gilmer,13,123,28292,67920
,"","",Murray,13,213,39628,
,"","","","","",,
264,13CS043,Glynn+McIntosh,Glynn,13,127,79626,93959
,"","",McIntosh,13,191,14333,
,"","","","","",,
265,13CS044,Gordon,Gordon,13,129,55186,55186
,"","","","","",,
266,13CS045,Gwinnett,Gwinnett,13,135,805321,805321
,"","","","","",,
267,13CS046,Hall,Hall,13,139,179684,179684
,"","","","","",,
268,13CS047,Hancock+Jasper+Morgan+Putnam,Hancock,13,141,9429,62415
,"","",Jasper,13,159,13900,
,"","",Morgan,13,211,17868,
,"","",Putnam,13,237,21218,
,"","","","","",,
269,13CS048,Haralson+Polk,Haralson,13,143,28780,70255
,"","",Polk,13,233,41475,
,"","","","","",,
270,13CS049,Harris+Meriwether+Talbot,Harris,13,145,32024,60881
,"","",Meriwether,13,199,21992,
,"","",Talbot,13,263,6865,
,"","","","","",,
271,13CS050,Henry,Henry,13,151,203922,203922
,"","","","","",,
272,13CS051,Houston,Houston,13,153,139900,139900
,"","","","","",,
273,13CS052,Jackson,Jackson,13,157,60485,60485
,"","","","","",,
274,13CS053,Lanier and Nearby Counties,Atkinson,13,003,8375,65783
,"","",Berrien,13,019,19286,
,"","",Clinch,13,065,6798,
,"","",Cook,13,075,17212,
,"","",Echols,13,101,4034,
,"","",Lanier,13,173,10078,
,"","","","","",,
275,13CS054,Lowndes,Lowndes,13,185,109233,109233
,"","","","","",,
276,13CS055,Marion and Nearby Counties,Chattahoochee,13,053,11267,90341
,"","",Macon,13,193,14740,
,"","",Marion,13,197,8742,
,"","",Schley,13,249,5010,
,"","",Stewart,13,259,6058,
,"","",Sumter,13,261,32819,
,"","",Taylor,13,269,8906,
,"","",Webster,13,307,2799,
,"","","","","",,
277,13CS056,Muscogee,Muscogee,13,215,189885,189885
,"","","","","",,
278,13CS057,Newton,Newton,13,217,99958,99958
,"","","","","",,
279,13CS058,Paulding,Paulding,13,223,142324,142324
,"","","","","",,
280,13CS059,Richmond,Richmond,13,245,200549,200549
,"","","","","",,
281,13CS060,Rockdale,Rockdale,13,247,85215,85215
,"","","","","",,
282,13CS061,Spalding,Spalding,13,255,64073,64073
,"","","","","",,
283,13CS062,Taliaferro and Nearby Counties,Greene,13,133,15994,78908
,"","",Lincoln,13,181,7996,
,"","",McDuffie,13,189,21875,
,"","",Ogelthorpe,13,221,14899,
,"","",Taliaferro,13,265,1717,
,"","",Warren,13,301,5834,
,"","",Wilkes,13,317,10593,
,"","","","","",,
284,13CS063,Tift+Worth,Tift,13,277,40118,61797
,"","",Worth,13,321,21679,
,"","","","","",,
285,13CS064,Troup,Troup,13,285,67044,67044
,"","","","","",,
286,13CS065,Walton,Walton,13,297,83768,83768
,"","","","","",,
287,13CS066,Washington and Nearby Counties,Baldwin,13,009,45720,135131
,"","",Glascock,13,125,3082,
,"","",Jefferson,13,163,16930,
,"","",Johnson,13,167,9980,
,"","",Jones,13,169,28669,
,"","",Washington,13,303,21187,
,"","",Wilkinson,13,319,9563,
,"","","","","",,
288,13CS067,Wheeler and Nearby Counties,Laurens,13,175,48434,88363
,"","",Montgomery,13,209,9123,
,"","",Telfair,13,271,16500,
,"","",Treutlen,13,283,6885,
,"","",Wheeler,13,309,7421,
,"","","","","",,
289,13CS068,Whitfield,Whitfield,13,313,102599,102599
,"","","","","",,
,"","",Hawaii,"","",,1360301
,"","","","","",,
290,15CS001,Hawaii (county),Hawaii (county),15,001,185079,185079
,"","","","","",,
291,15CS002,Honolulu,Honolulu,15,003,953207,953207
,"","","","","",,
292,15CS003,Kalawao+Maui,Kalawao,15,005,90,154924
,"","",Maui,15,009,154834,
,"","","","","",,
293,15CS004,Kauai,Kauai,15,007,67091,67091
,"","","","","",,
,"","",Idaho,"","",,1567582
,"","","","","",,
294,16CS001,Ada,Ada,16,001,392365,392365
,"","","","","",,
295,16CS002,Bannock+Bear Lake+Caribou+Franklin,Bannock,16,005,82839,108574
,"","",Bear Lake,16,007,5986,
,"","",Caribou,16,029,6963,
,"","",Franklin,16,041,12786,
,"","","","","",,
296,16CS003,Benewah+Latah+Nez Perce,Benewah,16,009,9285,85794
,"","",Latah,16,057,37244,
,"","",Nez Perce,16,069,39265,
,"","","","","",,
297,16CS004,Bingham+Oneida+Power,Bingham,16,011,45607,57710
,"","",Oneida,16,071,4286,
,"","",Power,16,077,7817,
,"","","","","",,
298,16CS005,Boise+Gem+Payette+Washington,Boise,16,015,7028,56568
,"","",Gem,16,045,16719,
,"","",Payette,16,075,22623,
,"","",Washington,16,087,10198,
,"","","","","",,
299,16CS006,Bonner+Boundary+Shoshone,Bonner,16,017,40877,64614
,"","",Boundary,16,021,10972,
,"","",Shoshone,16,079,12765,
,"","","","","",,
300,16CS007,Bonneville,Bonneville,16,019,104234,104234
,"","","","","",,
301,16CS008,Canyon,Canyon,16,027,188923,188923
,"","","","","",,
302,16CS009,Central Idaho,Adams,16,003,3976,54991
,"","",Clearwater,16,035,8761,
,"","",Custer,16,037,4368,
,"","",Idaho (county),16,049,16267,
,"","",Lemhi,16,059,7936,
,"","",Lewis,16,061,3821,
,"","",Valley,16,085,9862,
,"","","","","",,
303,16CS010,Elmore+Gooding+Owyhee,Elmore,16,039,27038,54028
,"","",Gooding,16,047,15464,
,"","",Owyhee,16,073,11526,
,"","","","","",,
304,16CS011,Jefferson and Nearby Counties,Butte,16,023,2891,90961
,"","",Clark,16,033,982,
,"","",Fremont,16,043,13242,
,"","",Jefferson,16,051,26140,
,"","",Madison,16,065,37536,
,"","",Teton,16,081,10170,
,"","","","","",,
305,16CS012,Kootenai,Kootenai,16,055,138494,138494
,"","","","","",,
306,16CS013,Lincoln and Nearby Counties,Blaine,16,013,21376,93096
,"","",Camas,16,025,1117,
,"","",Cassia,16,031,22952,
,"","",Jerome,16,053,22374,
,"","",Lincoln,16,063,5208,
,"","",Minidoka,16,067,20069,
,"","","","","",,
307,16CS014,Twin Falls,Twin Falls,16,083,77230,77230
,"","","","","",,
,"","",Illinois,"","",,12830632
,"","","","","",,
308,17CS001,Adams,Adams,17,001,67103,67103
,"","","","","",,
309,17CS002,Bond+Effingham+Fayette,Bond,17,005,17768,74150
,"","",Effingham,17,049,34242,
,"","",Fayette,17,051,22140,
,"","","","","",,
310,17CS003,Boone,Boone,17,007,54165,54165
,"","","","","",,
311,17CS004,Brown and Nearby Counties,Brown,17,009,6937,54997
,"","",Calhoun,17,013,5089,
,"","",Cass,17,017,13642,
,"","",Pike,17,149,16430,
,"","",Schuyler,17,169,7544,
,"","",Scott,17,171,5355,
,"","","","","",,
312,17CS005,Bureau+Marshall+Putnam+Stark,Bureau,17,011,34978,59618
,"","",Marshall,17,123,12640,
,"","",Putnam,17,155,6006,
,"","",Stark,17,175,5994,
,"","","","","",,
313,17CS006,Carroll+Jo Daviess+Stephenson,Carroll,17,015,15387,85776
,"","",Jo Daviess,17,085,22678,
,"","",Stephenson,17,177,47711,
,"","","","","",,
314,17CS007,Champaign,Champaign,17,019,201081,201081
,"","","","","",,
315,17CS008,Christian+Shelby,Christian,17,021,34800,57163
,"","",Shelby,17,173,22363,
,"","","","","",,
316,17CS009,Clark+Crawford+Cumberland+Jasper,Clark,17,023,16335,56898
,"","",Crawford,17,033,19817,
,"","",Cumberland,17,035,11048,
,"","",Jasper,17,079,9698,
,"","","","","",,
317,17CS010,Clay+Hamilton+Wayne+White,Clay,17,025,13815,53697
,"","",Hamilton,17,065,8457,
,"","",Wayne,17,191,16760,
,"","",White,17,193,14665,
,"","","","","",,
318,17CS011,Clinton+Marion,Clinton,17,027,37762,77199
,"","",Marion,17,121,39437,
,"","","","","",,
319,17CS012,Coles,Coles,17,029,53873,53873
,"","","","","",,
320,17CS013,Cook,Cook,17,031,5194675,5194675
,"","","","","",,
321,17CS014,DeKalb,DeKalb,17,037,105160,105160
,"","","","","",,
322,17CS015,De Witt+Logan+Mason+Menard,De Witt,17,039,16561,74237
,"","",Logan,17,107,30305,
,"","",Mason,17,125,14666,
,"","",Menard,17,129,12705,
,"","","","","",,
323,17CS016,Douglas+Edgar+Moultrie+Piatt,Douglas,17,041,19980,70131
,"","",Edgar,17,045,18576,
,"","",Moultrie,17,139,14846,
,"","",Piatt,17,147,16729,
,"","","","","",,
324,17CS017,DuPage,DuPage,17,043,916924,916924
,"","","","","",,
325,17CS018,Edwards+Lawrence+Richland+Wabash,Edwards,17,047,6721,51734
,"","",Lawrence,17,101,16833,
,"","",Richland,17,159,16233,
,"","",Wabash,17,185,11947,
,"","","","","",,
326,17CS019,Ford+Iroquois+Livingston,Ford,17,053,14081,82749
,"","",Iroquois,17,075,29718,
,"","",Livingston,17,105,38950,
,"","","","","",,
327,17CS020,Franklin+Gallatin+Saline,Franklin,17,055,39561,70063
,"","",Gallatin,17,059,5589,
,"","",Saline,17,165,24913,
,"","","","","",,
328,17CS021,Fulton+McDonough,Fulton,17,057,37069,69681
,"","",McDonough,17,109,32612,
,"","","","","",,
329,17CS022,Greene+Jersey+Morgan,Greene,17,061,13886,72418
,"","",Jersey,17,083,22985,
,"","",Morgan,17,137,35547,
,"","","","","",,
330,17CS023,Grundy,Grundy,17,063,50063,50063
,"","","","","",,
331,17CS024,Hancock+Henderson+Mercer+Warren,Hancock,17,067,19104,60576
,"","",Henderson,17,071,7331,
,"","",Mercer,17,131,16434,
,"","",Warren,17,187,17707,
,"","","","","",,
332,17CS025,Henry,Henry,17,073,50486,50486
,"","","","","",,
333,17CS026,Jackson,Jackson,17,077,60218,60218
,"","","","","",,
334,17CS027,Jefferson+Washington,Jefferson,17,081,38827,53543
,"","",Washington,17,189,14716,
,"","","","","",,
335,17CS028,Kane,Kane,17,089,515269,515269
,"","","","","",,
336,17CS029,Kankakee,Kankakee,17,091,113449,113449
,"","","","","",,
337,17CS030,Kendall,Kendall,17,093,114736,114736
,"","","","","",,
338,17CS031,Knox,Knox,17,095,52919,52919
,"","","","","",,
339,17CS032,Lake,Lake,17,097,703462,703462
,"","","","","",,
340,17CS033,La Salle,La Salle,17,099,113924,113924
,"","","","","",,
341,17CS034,Lee+Whiteside,Lee,17,103,36031,94529
,"","",Whiteside,17,195,58498,
,"","","","","",,
342,17CS035,McHenry,McHenry,17,111,308760,308760
,"","","","","",,
343,17CS036,McLean,McLean,17,113,169572,169572
,"","","","","",,
344,17CS037,Macon,Macon,17,115,110768,110768
,"","","","","",,
345,17CS038,Macoupin+Montgomery,Macoupin,17,117,47765,77869
,"","",Montgomery,17,135,30104,
,"","","","","",,
346,17CS039,Madison,Madison,17,119,269282,269282
,"","","","","",,
347,17CS040,Monroe+St. Clair,Monroe,17,133,32957,303013
,"","",St. Clair,17,163,270056,
,"","","","","",,
348,17CS041,Ogle,Ogle,17,141,53497,53497
,"","","","","",,
349,17CS042,Peoria+Woodford,Peoria,17,143,186494,225158
,"","",Woodford,17,203,38664,
,"","","","","",,
350,17CS043,Perry+Randolph,Perry,17,145,22350,55826
,"","",Randolph,17,157,33476,
,"","","","","",,
351,17CS044,Rock Island,Rock Island,17,161,147546,147546
,"","","","","",,
352,17CS045,Sangamon,Sangamon,17,167,197465,197465
,"","","","","",,
353,17CS046,Southern Illinois,Alexander,17,003,8238,69008
,"","",Hardin,17,069,4320,
,"","",Johnson,17,087,12582,
,"","",Massac,17,127,15429,
,"","",Pope,17,151,4470,
,"","",Pulaski,17,153,6161,
,"","",Union,17,181,17808,
,"","","","","",,
354,17CS047,Tazewell,Tazewell,17,179,135394,135394
,"","","","","",,
355,17CS048,Vermilion,Vermilion,17,183,81625,81625
,"","","","","",,
356,17CS049,Will,Will,17,197,677560,677560
,"","","","","",,
357,17CS050,Williamson,Williamson,17,199,66357,66357
,"","","","","",,
358,17CS051,Winnebago,Winnebago,17,201,295266,295266
,"","","","","",,
,"","",Indiana,"","",,6483802
,"","","","","",,
359,18CS001,Adams+Wells,Adams,18,001,34387,62023
,"","",Wells,18,179,27636,
,"","","","","",,
360,18CS002,Allen,Allen,18,003,355329,355329
,"","","","","",,
361,18CS003,Bartholomew+Brown,Bartholomew,18,005,76794,92036
,"","",Brown,18,013,15242,
,"","","","","",,
362,18CS004,Benton+Jasper+Newton,Benton,18,007,8854,56576
,"","",Jasper,18,073,33478,
,"","",Newton,18,111,14244,
,"","","","","",,
363,18CS005,Blackford+Jay+Randolph,Blackford,18,009,12766,60190
,"","",Jay,18,075,21253,
,"","",Randolph,18,135,26171,
,"","","","","",,
364,18CS006,Boone,Boone,18,011,56640,56640
,"","","","","",,
365,18CS007,Carroll+Clinton,Carroll,18,015,20155,53379
,"","",Clinton,18,023,33224,
,"","","","","",,
366,18CS008,Cass+White,Cass,18,017,38966,63609
,"","",White,18,181,24643,
,"","","","","",,
367,18CS009,Clark+Scott,Clark,18,019,110232,134413
,"","",Scott,18,143,24181,
,"","","","","",,
368,18CS010,Clay+Sullivan+Vermillion+Vigo,Clay,18,021,26890,172425
,"","",Sullivan,18,153,21475,
,"","",Vermillion,18,165,16212,
,"","",Vigo,18,167,107848,
,"","","","","",,
369,18CS011,Crawford+Harrison+Perry,Crawford,18,025,10713,69415
,"","",Harrison,18,061,39364,
,"","",Perry,18,123,19338,
,"","","","","",,
370,18CS012,Daviess+Knox+Martin,Daviess,18,027,31648,80422
,"","",Knox,18,083,38440,
,"","",Martin,18,101,10334,
,"","","","","",,
371,18CS013,Dearborn+Ohio+Ripley+Switzerland,Dearborn,18,029,50047,95606
,"","",Ohio,18,115,6128,
,"","",Ripley,18,137,28818,
,"","",Switzerland,18,155,10613,
,"","","","","",,
372,18CS014,Decatur+Shelby,Decatur,18,031,25740,70176
,"","",Shelby,18,145,44436,
,"","","","","",,
373,18CS015,DeKalb+Steuben,DeKalb,18,033,42223,76408
,"","",Steuben,18,151,34185,
,"","","","","",,
374,18CS016,Delaware,Delaware,18,035,117671,117671
,"","","","","",,
375,18CS017,Dubois+Pike+Spencer,Dubois,18,037,41889,75686
,"","",Pike,18,125,12845,
,"","",Spencer,18,147,20952,
,"","","","","",,
376,18CS018,Elkhart,Elkhart,18,039,197559,197559
,"","","","","",,
377,18CS019,Fayette+Franklin+Union,Fayette,18,041,24277,54880
,"","",Franklin,18,047,23087,
,"","",Union,18,161,7516,
,"","","","","",,
378,18CS020,Floyd,Floyd,18,043,74578,74578
,"","","","","",,
379,18CS021,Fountain+Montgomery+Warren,Fountain,18,045,17240,63872
,"","",Montgomery,18,107,38124,
,"","",Warren,18,171,8508,
,"","","","","",,
380,18CS022,Fulton+Miami+Wabash,Fulton,18,049,20836,90627
,"","",Miami,18,103,36903,
,"","",Wabash,18,169,32888,
,"","","","","",,
381,18CS023,Gibson+Posey,Gibson,18,051,33503,59413
,"","",Posey,18,129,25910,
,"","","","","",,
382,18CS024,Grant,Grant,18,053,70061,70061
,"","","","","",,
383,18CS025,Greene+Owen+Parke+Putnam,Greene,18,055,33165,110042
,"","",Owen,18,119,21575,
,"","",Parke,18,121,17339,
,"","",Putnam,18,133,37963,
,"","","","","",,
384,18CS026,Hamilton,Hamilton,18,057,274569,274569
,"","","","","",,
385,18CS027,Hancock,Hancock,18,059,70002,70002
,"","","","","",,
386,18CS028,Hendricks,Hendricks,18,063,145448,145448
,"","","","","",,
387,18CS029,Henry+Rush,Henry,18,065,49462,66854
,"","",Rush,18,139,17392,
,"","","","","",,
388,18CS030,Howard+Tipton,Howard,18,067,82752,98688
,"","",Tipton,18,159,15936,
,"","","","","",,
389,18CS031,Huntington+Whitley,Huntington,18,069,37124,70416
,"","",Whitley,18,183,33292,
,"","","","","",,
390,18CS032,Jackson+Washington,Jackson,18,071,42376,70638
,"","",Washington,18,175,28262,
,"","","","","",,
391,18CS033,Jennings+Jefferson,Jennings,18,079,28525,60953
,"","",Jefferson,18,077,32428,
,"","","","","",,
392,18CS034,Johnson,Johnson,18,081,139654,139654
,"","","","","",,
393,18CS035,Kosciusko,Kosciusko,18,085,77358,77358
,"","","","","",,
394,18CS036,LaGrange+Noble,LaGrange,18,087,37128,84664
,"","",Noble,18,113,47536,
,"","","","","",,
395,18CS037,Lake,Lake,18,089,496005,496005
,"","","","","",,
396,18CS038,LaPorte,LaPorte,18,091,111467,111467
,"","","","","",,
397,18CS039,Lawrence+Orange,Lawrence,18,093,46134,65974
,"","",Orange,18,117,19840,
,"","","","","",,
398,18CS040,Madison,Madison,18,095,131636,131636
,"","","","","",,
399,18CS041,Marion,Marion,18,097,903393,903393
,"","","","","",,
400,18CS042,Marshall+Pulaski+Starke,Marshall,18,099,47051,83816
,"","",Pulaski,18,131,13402,
,"","",Starke,18,149,23363,
,"","","","","",,
401,18CS043,Monroe,Monroe,18,105,137974,137974
,"","","","","",,
402,18CS044,Morgan,Morgan,18,109,68894,68894
,"","","","","",,
403,18CS045,Porter,Porter,18,127,164343,164343
,"","","","","",,
404,18CS046,St. Joseph,St. Joseph,18,141,266931,266931
,"","","","","",,
405,18CS047,Tippecanoe,Tippecanoe,18,157,172780,172780
,"","","","","",,
406,18CS048,Vanderburgh,Vanderburgh,18,163,179703,179703
,"","","","","",,
407,18CS049,Warrick,Warrick,18,173,59689,59689
,"","","","","",,
408,18CS050,Wayne,Wayne,18,177,68917,68917
,"","","","","",,
,"","",Iowa,"","",,2873697
,"","","","","",,
409,19CS001,Allamakee+Clayton+Winneshiek,Allamakee,19,005,14330,53515
,"","",Clayton,19,043,18129,
,"","",Winneshiek,19,191,21056,
,"","","","","",,
410,19CS002,Audubon and Nearby Counties,Adair,19,001,7682,50878
,"","",Audubon,19,009,6119,
,"","",Cass,19,029,13956,
,"","",Guthrie,19,077,10954,
,"","",Shelby,19,165,12167,
,"","","","","",,
411,19CS003,Benton+Iowa (county)+Keokuk+Washington,Benton,19,011,26076,74646
,"","",Iowa (county),19,095,16355,
,"","",Keokuk,19,107,10511,
,"","",Washington,19,183,21704,
,"","","","","",,
412,19CS004,Black Hawk,Black Hawk,19,013,131090,131090
,"","","","","",,
413,19CS005,Boone+Carroll+Greene,Boone,19,015,26306,56458
,"","",Carroll,19,027,20816,
,"","",Greene,19,073,9336,
,"","","","","",,
414,19CS006,Bremer+Butler+Grundy,Bremer,19,017,24276,51596
,"","",Butler,19,023,14867,
,"","",Grundy,19,075,12453,
,"","","","","",,
415,19CS007,Buchanan+Delaware+Fayette,Buchanan,19,019,20958,59602
,"","",Delaware,19,055,17764,
,"","",Fayette,19,065,20880,
,"","","","","",,
416,19CS008,Cedar+Clinton+Jackson+Jones,Cedar,19,031,18499,108101
,"","",Clinton,19,045,49116,
,"","",Jackson,19,097,19848,
,"","",Jones,19,105,20638,
,"","","","","",,
417,19CS009,Cerro Gordo+Hancock+Winnebago,Cerro Gordo,19,033,44151,66358
,"","",Hancock,19,081,11341,
,"","",Winnebago,19,189,10866,
,"","","","","",,
418,19CS010,Dallas,Dallas,19,049,66135,66135
,"","","","","",,
419,19CS011,Davis+Jefferson+Van Buren+Wapello,Davis,19,051,8753,68791
,"","",Jefferson,19,101,16843,
,"","",Van Buren,19,177,7570,
,"","",Wapello,19,179,35625,
,"","","","","",,
420,19CS012,Des Moines+Henry+Lee,Des Moines,19,057,40325,96332
,"","",Henry,19,087,20145,
,"","",Lee,19,111,35862,
,"","","","","",,
421,19CS013,Dubuque,Dubuque,19,061,93653,93653
,"","","","","",,
422,19CS014,Franklin+Hamilton+Hardin+Wright,Franklin,19,069,10680,57116
,"","",Hamilton,19,079,15673,
,"","",Hardin,19,083,17534,
,"","",Wright,19,197,13229,
,"","","","","",,
423,19CS015,Fremont+Harrison+Mills+Pottawattamie,Fremont,19,071,7441,130586
,"","",Harrison,19,085,14928,
,"","",Mills,19,129,15059,
,"","",Pottawattamie,19,155,93158,
,"","","","","",,
424,19CS016,Jasper+Poweshiek,Jasper,19,099,36842,55756
,"","",Poweshiek,19,157,18914,
,"","","","","",,
425,19CS017,Johnson,Johnson,19,103,130882,130882
,"","","","","",,
426,19CS018,Linn,Linn,19,113,211226,211226
,"","","","","",,
427,19CS019,Louisa+Muscatine,Louisa,19,115,11387,54132
,"","",Muscatine,19,139,42745,
,"","","","","",,
428,19CS020,Lucas and Nearby Counties,Appanoose,19,007,12887,53901
,"","",Clarke,19,039,9286,
,"","",Decatur,19,053,8457,
,"","",Lucas,19,117,8898,
,"","",Monroe,19,135,7970,
,"","",Wayne,19,185,6403,
,"","","","","",,
429,19CS021,Lyon+O'Brien+Osceola+Sioux,Lyon,19,119,11581,66145
,"","",O'Brien,19,141,14398,
,"","",Osceola,19,143,6462,
,"","",Sioux,19,167,33704,
,"","","","","",,
430,19CS022,Madison+Warren,Madison,19,121,15679,61904
,"","",Warren,19,181,46225,
,"","","","","",,
431,19CS023,Mahaska+Marion,Mahaska,19,123,22381,55690
,"","",Marion,19,125,33309,
,"","","","","",,
432,19CS024,Marshall+Tama,Marshall,19,127,40648,58415
,"","",Tama,19,171,17767,
,"","","","","",,
433,19CS025,Mitchell and Nearby Counties,Chickasaw,19,037,12439,56682
,"","",Floyd,19,067,16303,
,"","",Howard,19,089,9566,
,"","",Mitchell,19,131,10776,
,"","",Worth,19,195,7598,
,"","","","","",,
434,19CS026,Palo Alto and Nearby Counties,Clay,19,041,16667,68600
,"","",Dickinson,19,059,16667,
,"","",Emmet,19,063,10302,
,"","",Kossuth,19,109,15543,
,"","",Palo Alto,19,147,9421,
,"","","","","",,
435,19CS027,Pocahontas and Nearby Counties,Buena Vista,19,021,20260,95418
,"","",Calhoun,19,025,9670,
,"","",Humboldt,19,091,9815,
,"","",Pocahontas,19,151,7310,
,"","",Sac,19,161,10350,
,"","",Webster,19,187,38013,
,"","","","","",,
436,19CS028,Polk,Polk,19,153,430640,430640
,"","","","","",,
437,19CS029,Scott,Scott,19,163,165224,165224
,"","","","","",,
438,19CS030,Story,Story,19,169,89542,89542
,"","","","","",,
439,19CS031,Taylor and Nearby Counties,Adams,19,003,4029,54683
,"","",Montgomery,19,137,10740,
,"","",Page,19,145,15932,
,"","",Ringgold,19,159,5131,
,"","",Taylor,19,173,6317,
,"","",Union,19,175,12534,
,"","","","","",,
440,19CS032,West Central Iowa,Cherokee,19,035,12072,172658
,"","",Crawford,19,047,17096,
,"","",Ida,19,093,7089,
,"","",Monona,19,133,9243,
,"","",Plymouth,19,149,24986,
,"","",Woodbury,19,193,102172,
,"","","","","",,
,"","",Kansas,"","",,2853118
,"","","","","",,
441,20CS001,Allen+Anderson+Franklin+Osage,Allen,20,001,13371,63760
,"","",Anderson,20,003,8102,
,"","",Franklin,20,059,25992,
,"","",Osage,20,139,16295,
,"","","","","",,
442,20CS002,Bourbon+Linn+Miami,Bourbon,20,011,15173,57616
,"","",Linn,20,107,9656,
,"","",Miami,20,121,32787,
,"","","","","",,
443,20CS003,Brown and Nearby Counties,Atchison,20,005,16924,87736
,"","",Brown,20,013,9984,
,"","",Doniphan,20,043,7945,
,"","",Jackson,20,085,13462,
,"","",Jefferson,20,087,19126,
,"","",Marshall,20,117,10117,
,"","",Nemaha,20,131,10178,
,"","","","","",,
444,20CS004,Butler+Harvey,Butler,20,015,65880,100564
,"","",Harvey,20,079,34684,
,"","","","","",,
445,20CS005,Central Kansas,Barton,20,009,27674,108856
,"","",Ellis,20,051,28452,
,"","",Ellsworth,20,053,6497,
,"","",McPherson,20,113,29180,
,"","",Rice,20,159,10083,
,"","",Russell,20,167,6970,
,"","","","","",,
446,20CS006,Chase+Coffey+Lyon+Marion,Chase,20,017,2790,57741
,"","",Coffey,20,031,8601,
,"","",Lyon,20,111,33690,
,"","",Marion,20,115,12660,
,"","","","","",,
447,20CS007,Cherokee+Crawford,Cherokee,20,021,21603,60737
,"","",Crawford,20,037,39134,
,"","","","","",,
448,20CS008,Cloud and Nearby Counties,Clay,20,027,8535,55340
,"","",Cloud,20,029,9533,
,"","",Jewell,20,089,3077,
,"","",Lincoln,20,105,3241,
,"","",Mitchell,20,123,6373,
,"","",Osborne,20,141,3858,
,"","",Ottawa,20,143,6091,
,"","",Republic,20,157,4980,
,"","",Smith,20,183,3853,
,"","",Washington,20,201,5799,
,"","","","","",,
449,20CS009,Dickinson+Geary+Morris,Dickinson,20,041,19754,60039
,"","",Geary,20,061,34362,
,"","",Morris,20,127,5923,
,"","","","","",,
450,20CS010,Douglas,Douglas,20,045,110826,110826
,"","","","","",,
451,20CS011,Elk and Nearby Counties,Chautauqua,20,019,3669,62269
,"","",Cowley,20,035,36311,
,"","",Elk,20,049,2882,
,"","",Greenwood,20,073,6689,
,"","",Wilson,20,205,9409,
,"","",Woodson,20,207,3309,
,"","","","","",,
452,20CS012,Johnson,Johnson,20,091,544179,544179
,"","","","","",,
453,20CS013,Labette+Montgomery+Neosho,Labette,20,099,21607,73590
,"","",Montgomery,20,125,35471,
,"","",Neosho,20,133,16512,
,"","","","","",,
454,20CS014,Leavenworth,Leavenworth,20,103,76227,76227
,"","","","","",,
455,20CS015,Northwest Kansas,Cheyenne,20,023,2726,53700
,"","",Decatur,20,039,2961,
,"","",Gove,20,063,2695,
,"","",Graham,20,065,2597,
,"","",Logan,20,109,2756,
,"","",Norton,20,137,5671,
,"","",Phillips,20,147,5642,
,"","",Rawlins,20,153,2519,
,"","",Rooks,20,163,5181,
,"","",Sheridan,20,179,2556,
,"","",Sherman,20,181,6010,
,"","",Thomas,20,193,7900,
,"","",Trego,20,195,3001,
,"","",Wallace,20,199,1485,
,"","","","","",,
456,20CS016,Pawnee and Nearby Counties,Clark,20,025,2215,58847
,"","",Comanche,20,033,1891,
,"","",Edwards,20,047,3037,
,"","",Ford,20,057,33848,
,"","",Hodgman,20,083,1916,
,"","",Kiowa,20,097,2553,
,"","",Ness,20,135,3107,
,"","",Pawnee,20,145,6973,
,"","",Rush,20,165,3307,
,"","","","","",,
457,20CS017,Pottawatomie+Riley+Wabaunsee,Pottawatomie,20,149,21604,99772
,"","",Riley,20,161,71115,
,"","",Wabaunsee,20,197,7053,
,"","","","","",,
458,20CS018,Reno,Reno,20,155,64511,64511
,"","","","","",,
459,20CS019,Saline,Saline,20,169,55606,55606
,"","","","","",,
